X,Y,Z,Name,description,gx_media_links,Image,Image 1,Image 2,Source
-11.8717266,31.3585535,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-11.6899061,31.1352001,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-11.2284803,30.7488648,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-10.1298475,30.5976772,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-10.1298475,31.2010034,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-10.7450819,31.8751734,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-11.0526991,32.4703263,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-92.0290522,27.739239,0,Aries - Ram,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSCTbfkJJGFlCVayHWi2musHiD_E5nk4xiEYeS8SUxvT0QAtXnsDLNRZvpyoTW8Wc7vxi4S9bLImaeiqW_ZydSLmf01nlMJeZcnEtrwlp1j6XmA6n5YJOLxuE_00TSgNtuGB4TYRJuDJyTkbHIk0zR1hppxv3O12t3tWcPjLaq0Z0x52bJf7WL9XmixNBrs7-DxJVU9dduW5DOhSuma23y4egPpYFdGBANboK2lUQF3MklCYGwbi3F4PNxHvw?authuser=0&fife=s16383 https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQbjppfy94poHfaQVPLomXuCiWhu4qcqpvo7Bkm2bJPQvqeMQAfOo7JIS84lmcc7Ypu3LnY8qxZ08Kg1w17bZhSzqJdPZMK7qADuSVhcH-WX4g9HXNzGHq1lfbL798DSJkm6s_DK4dnTTkycO8qGO6CpiS4hhdZ7OId3x7lcarPw4cwVECN3zMhndL6o9rLR6Q_iuqkz6GlBiEe7Oyp463LkhDmMSTS4QhsSKlcFKa-LydfEZ3n5X8lnrb95g?authuser=0&fife=s16383,,<br>Urania's Mirror Aries,<br>Aries on Earth,"<br>Couch, B. (2024). Heaven on Earth: As Above, So Below. Research Catalogue. https://doi.org/10.22501/rc.3032777"
-92.9959823,27.7780006,0,Aries - Ram,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSCTbfkJJGFlCVayHWi2musHiD_E5nk4xiEYeS8SUxvT0QAtXnsDLNRZvpyoTW8Wc7vxi4S9bLImaeiqW_ZydSLmf01nlMJeZcnEtrwlp1j6XmA6n5YJOLxuE_00TSgNtuGB4TYRJuDJyTkbHIk0zR1hppxv3O12t3tWcPjLaq0Z0x52bJf7WL9XmixNBrs7-DxJVU9dduW5DOhSuma23y4egPpYFdGBANboK2lUQF3MklCYGwbi3F4PNxHvw?authuser=0&fife=s16383 https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQbjppfy94poHfaQVPLomXuCiWhu4qcqpvo7Bkm2bJPQvqeMQAfOo7JIS84lmcc7Ypu3LnY8qxZ08Kg1w17bZhSzqJdPZMK7qADuSVhcH-WX4g9HXNzGHq1lfbL798DSJkm6s_DK4dnTTkycO8qGO6CpiS4hhdZ7OId3x7lcarPw4cwVECN3zMhndL6o9rLR6Q_iuqkz6GlBiEe7Oyp463LkhDmMSTS4QhsSKlcFKa-LydfEZ3n5X8lnrb95g?authuser=0&fife=s16383,,<br>Urania's Mirror Aries,<br>Aries on Earth,"<br>Couch, B. (2024). Heaven on Earth: As Above, So Below. Research Catalogue. https://doi.org/10.22501/rc.3032777"
-93.6776204,27.8619966,0,Aries - Ram,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSCTbfkJJGFlCVayHWi2musHiD_E5nk4xiEYeS8SUxvT0QAtXnsDLNRZvpyoTW8Wc7vxi4S9bLImaeiqW_ZydSLmf01nlMJeZcnEtrwlp1j6XmA6n5YJOLxuE_00TSgNtuGB4TYRJuDJyTkbHIk0zR1hppxv3O12t3tWcPjLaq0Z0x52bJf7WL9XmixNBrs7-DxJVU9dduW5DOhSuma23y4egPpYFdGBANboK2lUQF3MklCYGwbi3F4PNxHvw?authuser=0&fife=s16383 https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQbjppfy94poHfaQVPLomXuCiWhu4qcqpvo7Bkm2bJPQvqeMQAfOo7JIS84lmcc7Ypu3LnY8qxZ08Kg1w17bZhSzqJdPZMK7qADuSVhcH-WX4g9HXNzGHq1lfbL798DSJkm6s_DK4dnTTkycO8qGO6CpiS4hhdZ7OId3x7lcarPw4cwVECN3zMhndL6o9rLR6Q_iuqkz6GlBiEe7Oyp463LkhDmMSTS4QhsSKlcFKa-LydfEZ3n5X8lnrb95g?authuser=0&fife=s16383,,<br>Urania's Mirror Aries,<br>Aries on Earth,"<br>Couch, B. (2024). Heaven on Earth: As Above, So Below. Research Catalogue. https://doi.org/10.22501/rc.3032777"
-94.2704023,27.6125915,0,Aries - Ram,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSCTbfkJJGFlCVayHWi2musHiD_E5nk4xiEYeS8SUxvT0QAtXnsDLNRZvpyoTW8Wc7vxi4S9bLImaeiqW_ZydSLmf01nlMJeZcnEtrwlp1j6XmA6n5YJOLxuE_00TSgNtuGB4TYRJuDJyTkbHIk0zR1hppxv3O12t3tWcPjLaq0Z0x52bJf7WL9XmixNBrs7-DxJVU9dduW5DOhSuma23y4egPpYFdGBANboK2lUQF3MklCYGwbi3F4PNxHvw?authuser=0&fife=s16383 https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQbjppfy94poHfaQVPLomXuCiWhu4qcqpvo7Bkm2bJPQvqeMQAfOo7JIS84lmcc7Ypu3LnY8qxZ08Kg1w17bZhSzqJdPZMK7qADuSVhcH-WX4g9HXNzGHq1lfbL798DSJkm6s_DK4dnTTkycO8qGO6CpiS4hhdZ7OId3x7lcarPw4cwVECN3zMhndL6o9rLR6Q_iuqkz6GlBiEe7Oyp463LkhDmMSTS4QhsSKlcFKa-LydfEZ3n5X8lnrb95g?authuser=0&fife=s16383,,<br>Urania's Mirror Aries,<br>Aries on Earth,"<br>Couch, B. (2024). Heaven on Earth: As Above, So Below. Research Catalogue. https://doi.org/10.22501/rc.3032777"
-94.6592514,27.2810023,0,Aries - Ram,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSCTbfkJJGFlCVayHWi2musHiD_E5nk4xiEYeS8SUxvT0QAtXnsDLNRZvpyoTW8Wc7vxi4S9bLImaeiqW_ZydSLmf01nlMJeZcnEtrwlp1j6XmA6n5YJOLxuE_00TSgNtuGB4TYRJuDJyTkbHIk0zR1hppxv3O12t3tWcPjLaq0Z0x52bJf7WL9XmixNBrs7-DxJVU9dduW5DOhSuma23y4egPpYFdGBANboK2lUQF3MklCYGwbi3F4PNxHvw?authuser=0&fife=s16383 https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQbjppfy94poHfaQVPLomXuCiWhu4qcqpvo7Bkm2bJPQvqeMQAfOo7JIS84lmcc7Ypu3LnY8qxZ08Kg1w17bZhSzqJdPZMK7qADuSVhcH-WX4g9HXNzGHq1lfbL798DSJkm6s_DK4dnTTkycO8qGO6CpiS4hhdZ7OId3x7lcarPw4cwVECN3zMhndL6o9rLR6Q_iuqkz6GlBiEe7Oyp463LkhDmMSTS4QhsSKlcFKa-LydfEZ3n5X8lnrb95g?authuser=0&fife=s16383,,<br>Urania's Mirror Aries,<br>Aries on Earth,"<br>Couch, B. (2024). Heaven on Earth: As Above, So Below. Research Catalogue. https://doi.org/10.22501/rc.3032777"
-94.5340708,26.7721518,0,Aries - Ram,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSCTbfkJJGFlCVayHWi2musHiD_E5nk4xiEYeS8SUxvT0QAtXnsDLNRZvpyoTW8Wc7vxi4S9bLImaeiqW_ZydSLmf01nlMJeZcnEtrwlp1j6XmA6n5YJOLxuE_00TSgNtuGB4TYRJuDJyTkbHIk0zR1hppxv3O12t3tWcPjLaq0Z0x52bJf7WL9XmixNBrs7-DxJVU9dduW5DOhSuma23y4egPpYFdGBANboK2lUQF3MklCYGwbi3F4PNxHvw?authuser=0&fife=s16383 https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQbjppfy94poHfaQVPLomXuCiWhu4qcqpvo7Bkm2bJPQvqeMQAfOo7JIS84lmcc7Ypu3LnY8qxZ08Kg1w17bZhSzqJdPZMK7qADuSVhcH-WX4g9HXNzGHq1lfbL798DSJkm6s_DK4dnTTkycO8qGO6CpiS4hhdZ7OId3x7lcarPw4cwVECN3zMhndL6o9rLR6Q_iuqkz6GlBiEe7Oyp463LkhDmMSTS4QhsSKlcFKa-LydfEZ3n5X8lnrb95g?authuser=0&fife=s16383,,<br>Urania's Mirror Aries,<br>Aries on Earth,"<br>Couch, B. (2024). Heaven on Earth: As Above, So Below. Research Catalogue. https://doi.org/10.22501/rc.3032777"
